sr. No,NRCan.Reference,Brand,Model,AEC,Type,Defrost,FreezerLoc,TotalVol,SizeCategory,DoorIce,RefVol,FreezerVol,Ratio,
1240,9824303,LG,LFXS29766*,552,Refrigerator,Automatic,Bottom,807.2,14,Yes,526.8,280.4,0.532270311,
1241,9824304,LG,LFXS29626*,553,Refrigerator,Automatic,Bottom,812.8,14,Yes,532.4,280.4,0.526671675,
1275,9874959,LG,LTCS24223*,371,Refrigerator,Automatic,Top,674,11,No,498.4,175.6,0.352327448,
1276,9874960,LG,LFXS24623*,511,Refrigerator,Automatic,Bottom,685.4,11,Yes,458.8,226.6,0.493897123,
1278,9875393,LG,LMXS27626*,533,Refrigerator,Automatic,Bottom,756.1,13,Yes,506.9,249.2,0.491615703,
1294,9875515,LG,LFXS24663*,513,Refrigerator,Automatic,Bottom,691.02,11,Yes,464.46,226.56,0.487792275,
1441,10012975,LG,LMXS27766*,531,Refrigerator,Automatic,Bottom,750.4,13,Yes,501.2,249.2,0.497206704,
1465,10029449,LG,LTNC1#121*,339,Refrigerator,Automatic,Top,314.5,5,No,240.4,74.1,0.308236273,
1474,10194888,LG,LFCS31626*,499,Refrigerator,Automatic,Bottom,866.6,15,No,580.6,286,0.492593868,
1476,10194890,LG,LMXC23746*,492,Refrigerator,Automatic,Bottom,642.9,11,Yes,461.6,181.3,0.392764298,
1571,10975731,LG,LPXS30866*,577,Refrigerator,Automatic,Bottom,843.9,14,Yes,475.8,368.1,0.773644388,
1739,10990474,LG,LMXS30776*,554,Refrigerator,Automatic,Bottom,841.1,14,Yes,591.9,249.2,0.421017064,
1805,12117900,LG,LFXC24766*,535,Refrigerator,Automatic,Bottom,665.4,11,Yes,441.7,223.7,0.506452343,
1807,12117902,LG,LFXS30766*,592,Refrigerator,Automatic,Bottom,838.2,14,Yes,552.2,286,0.517928287,
1808,12117903,LG,LMXS30786*,514,Refrigerator,Automatic,Bottom,846.8,14,Yes,597.6,249.2,0.417001339,
1828,12124109,LG,LSSB2691**,595,Refrigerator,Automatic,Side,725,12,Yes,460.2,264.8,0.575401999,
1857,12602049,LG,LPXS30886*,576,Refrigerator,Automatic,Bottom,838.3,14,Yes,470.1,368.2,0.783237609,
1858,12602059,LG,LPCS34886*,536,Refrigerator,Automatic,Bottom,948.7,16,No,569.2,379.5,0.666725228,
