sr. No,NRCan.Reference,Brand,Model,AEC,Type,Defrost,FreezerLoc,TotalVol,SizeCategory,DoorIce,RefVol,FreezerVol,Ratio,
1679,10990399,Miele,KS37472ID,283,Refrigerator,Automatic,No freezer,308,5,No,308,0,0,
1680,10990400,Miele,KFNS37692IDE,403,Refrigerator,Automatic,Bottom,247,4,No,179,68,0.379888268,
303,1594219,Moffat,MBRC0GAX****,455,Refrigerator,Automatic,Bottom,570.585,9,No,398.701,171.883,0.431107522,
509,4537542,Moffat,MBC12GAZBB,389.3,Refrigerator,Automatic,Bottom,322.1,5,No,229.4,92.7,0.404097646,
527,4711037,Moffat,MBC12GAZBB,416,Refrigerator,Automatic,Bottom,325,5,No,232,92.5,0.398706897,
1498,10300680,Moffat,MTS18GTH****,320,Refrigerator,Automatic,Top,510,8,No,395,115,0.291139241,
1500,10300682,Moffat,MBR12DGH****,325,Refrigerator,Automatic,Bottom,326,5,No,232,94,0.405172414,
1801,11819036,Moffat,MBR20DTH****,456,Refrigerator,Automatic,Bottom,577.1,9,No,398.4,178.7,0.448544177,
2455,16305131,Moffat,MPE12F*****,311,Refrigerator,Automatic,Top,326,5,No,237,89,0.375527426,
2590,16605229,Moffat,MTE18H******,362,Refrigerator,Automatic,Top,511,8,No,396.6,115,0.2899647,
2739,17685718,Monogram,ZISP420DK****,648,Refrigerator,Automatic,Side,696.88,12,Yes,446.56,250.32,0.560551774,
2742,17685721,Monogram,ZISP480DK****,705,Refrigerator,Automatic,Side,815.81,14,Yes,486.2,329.61,0.677930893,
2745,17685724,Monogram,ZISS420NK****,603,Refrigerator,Automatic,Side,712.74,12,No,446.56,266.18,0.596067718,
2749,17685728,Monogram,ZISS360DK****,611,Refrigerator,Automatic,Side,577.95,9,Yes,326.78,251.17,0.768621091,
2896,18460491,Monogram,ZWE23ESH****,433,Refrigerator,Automatic,Bottom,653.84,11,No,451.09,202.75,0.449466847,
2897,18460492,Monogram,ZISS480NH****,662,Refrigerator,Automatic,Side,837.05,14,No,486.2,350.85,0.721616619,
2903,18460498,Monogram,ZISP480DX****,632,Refrigerator,Automatic,Side,354.81,14,Yes,497.24,497.23,0.999979889,
2907,18460502,Monogram,ZISB420DX****,579,Refrigerator,Automatic,Side,267.03,12,Yes,456.18,456.17,0.999978079,
2912,18460507,Monogram,ZIRS360NX****,373,Refrigerator,Automatic,No freezer,609.66,10,No,609.66,0,0,
2915,18460510,Monogram,ZIR360NH****,323,Refrigerator,Automatic,No freezer,622.12,10,No,622.12,0,0,
2918,18460513,Monogram,ZIP360NH****,487,Refrigerator,Automatic,Bottom,588.99,10,No,411.16,176.7,0.429759704,
2919,18460514,Monogram,ZIK30GNH****,426,Refrigerator,Automatic,Bottom,413.43,7,No,301.29,112.7,0.374058216,
2923,18460518,Monogram,ZIDI240H****,313,Compact refrigerator,Automatic,No freezer,144.13,2,No,144.13,0,0,
2924,18460519,Monogram,ZIDI240B****,387,Compact refrigerator,Automatic,No freezer,141.58,2,No,141.58,0,0,
2925,18460520,Monogram,ZICS360NX****,456,Refrigerator,Automatic,Bottom,581.91,10,No,410.31,171.6,0.41822037,
2928,18460523,Monogram,ZIC360NH****,442,Refrigerator,Automatic,Bottom,817.3,10,No,574.37,242.93,0.422950363,
2929,18460524,Monogram,ZIC30GNH****,381,Refrigerator,Automatic,Bottom,410.59,7,No,296.76,112.7,0.379768163,
2934,18460529,Monogram,ZDOD240H****,316,Compact refrigerator,Automatic,No freezer,153.19,2,No,153.19,0,0,
3020,18460526,Monogram,ZIBI240H****,431,Compact refrigerator,Automatic,Side,122.89,1,No,94.86,28.03,0.295488088,
1772,19453792,Norpole,NPDR340STE,260,Compact refrigerator,Partial automatic,Inside,96,1,No,69,27,0.391304348,
2205,15011379,Northland,ND24BCG***,279,Compact refrigerator,Automatic,No freezer,153.2,2,No,153.2,0,0,
2207,15011381,Northland,NC24BCG0**,308,Compact refrigerator,Automatic,No freezer,154.6,2,No,154.6,0,0,
2953,11702186,Nostalgia Electrics,RRF325HNRED,423,Compact refrigerator,Partial automatic,Inside,86,1,No,58.9,26.8,0.455008489,
557,5369206,Professional,VDRY3KCD****,467,Refrigerator,Automatic,Bottom,602.582,11,No,141.584,460.998,3.256003503,
628,10975752,RCA,RFR321,219,Compact refrigerator,Manual,Inside,90.8,1,No,82.3,8.5,0.10328068,
870,13454994,RCA,RFR115-B*,208,Compact refrigerator,Manual,No freezer,46.8,0,No,46.8,0,0,
1593,10975756,RCA,RFR440,253,Compact refrigerator,Manual,Inside,128,2,No,120,8,0.066666667,
1986,15012782,RCA,RFR180-B,230,Compact refrigerator,Manual,Inside,46,0,No,41.47,4.53,0.109235592,
2567,15012789,RCA,RFR836-B,322,Compact refrigerator,Partial automatic,Inside,89.97,1,No,63.44,26.43,0.416614124,
1224,10975737,Royal Sovereign,RMF-70W,238,Compact refrigerator,Manual,Inside,72.5,1,No,66.3,6.2,0.093514329,
1513,6188323,Royal Sovereign,RMF-113B,249,Compact refrigerator,Manual,Inside,114.5,1,No,107.1,7.4,0.069094304,
1937,10975738,Royal Sovereign,RMF-46W,230,Compact refrigerator,Manual,Inside,46,0,No,41.47,4.53,0.109235592,
342,2442669,Samsung,RF197AC**,445,Refrigerator,Automatic,Bottom,504.946,8,No,342.955,161.99,0.472336021,
550,5090659,Samsung,ZT181PRTB**,251,Compact refrigerator,Manual,No freezer,180.095,2,No,180.095,0,0,
551,5090660,Samsung,ZT221PRTB**,252,Refrigerator,Manual,No freezer,220.871,3,No,220.871,0,0,
558,5477831,Samsung,RF323T*DB**,546,Refrigerator,Automatic,Bottom,894.91,15,Yes,611.71,283.2,0.462964477,
560,5477833,Samsung,RF263B*AE**,475,Refrigerator,Automatic,Bottom,724.99,12,Yes,501.26,223.73,0.446335235,
575,5882842,Samsung,RF221N*TA**,433,Refrigerator,Automatic,Bottom,611.643,10,No,419.089,192.554,0.459458492,
689,6475991,Samsung,RF31FM*SB**,539,Refrigerator,Automatic,Bottom,864.326,15,Yes,608.597,255.73,0.420195959,
704,6710661,Samsung,RF31FM*DB**,539,Refrigerator,Automatic,Bottom,880.469,15,Yes,624.739,255.73,0.40933894,
707,6960008,Samsung,RF32FM*DB**,570,Refrigerator,Automatic,Bottom,899.726,15,Yes,553.939,345.787,0.624232993,
752,7589441,Samsung,RS27FD*TN**,642,Refrigerator,Automatic,Side,778.8,13,Yes,475.776,303.024,0.636904762,
877,8656267,Samsung,RF25HM*DB**,481,Refrigerator,Automatic,Bottom,728.812,12,Yes,521.848,206.964,0.396598243,
878,8656268,Samsung,RF28HF*DT**,533,Refrigerator,Automatic,Bottom,826.215,14,Yes,575.093,251.122,0.436663288,
980,9004997,Samsung,RH29H9000**,548,Refrigerator,Automatic,Side,807.029,14,Yes,521.029,286,0.548913784,
981,9004998,Samsung,RH22H9010**,483,Refrigerator,Automatic,Side,608.811,10,Yes,404.93,203.881,0.503496901,
982,9004999,Samsung,RF26HFPNB**,385,Refrigerator,Automatic,Bottom,722.078,12,No,498.376,223.703,0.44886391,
983,9005000,Samsung,RF23HS*SB**,474,Refrigerator,Automatic,Bottom,668.56,11,Yes,485.633,182.927,0.37667745,
986,9005005,Samsung,RF30HB*DB**,539,Refrigerator,Automatic,Bottom,866.494,15,Yes,611.643,254.851,0.416666258,
987,9005007,Samsung,RF28HM*LB**,532,Refrigerator,Automatic,Bottom,824.019,14,Yes,588.14,235.879,0.401059272,
988,9005008,Samsung,RF28HFPDB**,430,Refrigerator,Automatic,Bottom,825.718,14,Yes,574.831,250.887,0.436453497,
990,9005010,Samsung,RF34H9960**,652,Refrigerator,Automatic,Bottom,971.266,16,Yes,538.586,432.681,0.803364737,
1085,9574421,Samsung,RF23HT*DB**,507,Refrigerator,Automatic,Bottom,662.613,11,Yes,470.059,192.554,0.409637939,
1624,10990303,Samsung,RF18HFENB**,431,Refrigerator,Automatic,Bottom,495.827,8,No,333.855,161.972,0.48515673,
1625,10990304,Samsung,RF20HFENB**,451,Refrigerator,Automatic,Bottom,550.195,9,No,363.871,186.325,0.512063341,
1626,10990305,Samsung,RF26HF*ND**,449,Refrigerator,Automatic,Bottom,727.742,12,No,501.208,226.534,0.451976026,
1842,12592584,Samsung,RF23J9011**,499,Refrigerator,Automatic,Bottom,637.128,11,Yes,386.241,250.887,0.649560766,
1843,12592585,Samsung,RF26J7500**,515,Refrigerator,Automatic,Bottom,722.078,12,Yes,495.544,226.534,0.45714205,
1918,13232958,Samsung,RF24J9960**,545,Refrigerator,Automatic,Bottom,682.435,11,Yes,402.099,280.336,0.69718154,
1919,13232959,Samsung,RQ33J7100**,282,Refrigerator,Automatic,No freezer,325.643,5,No,325.643,0,0,
1920,13232960,Samsung,RF28HD*DP**,500,Refrigerator,Automatic,Bottom,787.208,13,Yes,535.188,252.02,0.470899945,
1921,13232961,Samsung,RS25J500D**,502,Refrigerator,Automatic,Side,713.017,12,Yes,445.14,267.877,0.601781462,
2075,14860094,Samsung,RP13J1000**,185,Compact refrigerator,Manual,No freezer,126.01,2,No,126.01,0,0,
2271,15799265,Samsung,RF28K9070**,580,Refrigerator,Automatic,Bottom,795.702,13,Yes,470.059,325.643,0.692770482,
2351,16301668,Samsung,RF22KR*DB**,470,Refrigerator,Automatic,Bottom,634.296,10,Yes,450.237,184.059,0.408804696,
2352,16301669,Samsung,RF28K9580**,585,Refrigerator,Automatic,Bottom,790.039,13,Yes,464.396,325.643,0.701218357,
2353,16301670,Samsung,RF22K9581**,530,Refrigerator,Automatic,Bottom,622.97,10,Yes,373.782,249.188,0.666666667,
2802,17698792,Samsung,RB12J8896**,365,Refrigerator,Automatic,Bottom,345.465,5,No,223.703,121.762,0.544302043,
694,16605235,Season,550132,220,Compact refrigerator,Manual,No freezer,93,1,No,93,0,0,
774,16605232,Season,550129,207,Compact refrigerator,Manual,No freezer,44,0,No,44,0,0,
1579,16605234,Season,550131,213,Compact refrigerator,Manual,No freezer,67,0,No,67,0,0,
246,824123,Siemens,S20CS80SNW,550,Refrigerator,Automatic,Side,566.7,9,Yes,354.8,211.9,0.59723788,
249,824126,Siemens,S20CS50SNW,550,Refrigerator,Automatic,Side,571.8,9,Yes,359.9,211.9,0.58877466,
285,1391173,Siemens,S20CS81SNW,518,Refrigerator,Automatic,Side,566.7,9,Yes,354.8,211.9,0.59723788,
288,1391176,Siemens,S20CS51SNW,518,Refrigerator,Automatic,Side,571.8,9,Yes,359.9,211.9,0.58877466,
2139,14985388,Signature Kitchen Suite,UPFXC2466*,535,Refrigerator,Automatic,Bottom,665.4,11,Yes,441.7,223.7,0.506452343,
2140,14985389,Signature Kitchen Suite,UPSXB2627*,595,Refrigerator,Automatic,Side,725,12,Yes,460.2,264.8,0.575401999,
1173,9737247,Silhouette Professional,DAR055D1*,278,Compact refrigerator,Automatic,No freezer,156.6,2,No,156.6,0,0,
648,6189746,Simplicity,SFF1144WLH,388,Refrigerator,Automatic,Top,311.5,5,No,237.2,74.3,0.313237774,
1529,10300753,Simplicity,SYFF123C1*,353,Refrigerator,Automatic,Top,347.4,5,No,248.9,98.5,0.395741262,
309,2020886,Smeg,FAB28U,312,Refrigerator,Partial automatic,Inside,268,4,No,247,21,0.085020243,
1962,13967852,Smeg,FAB28U*1,250,Refrigerator,Manual,Inside,268,4,No,247,21,0.085020243,
2009,14420312,Smeg,CB300U,327.411,Refrigerator,Automatic,Bottom,238,3,No,173,65,0.375722543,
2097,14862631,Smeg,FAB32U*,347.22,Refrigerator,Automatic,Bottom,304.24,5,No,229.19,75.05,0.327457568,
1534,14082445,Snackmate,3.1SM5R,250,Compact refrigerator,Partial automatic,Inside,87,1,No,62.09,24.71,0.397970688,
961,9571833,Snackmate,2.6SM4R,228,Compact refrigerator,Automatic,No freezer,73,1,No,73,0,0,
1588,9571834,Snackmate,3.2SM4RA,258,Compact refrigerator,Automatic,No freezer,91.6,1,No,91.6,0,0,
1620,9571835,Snackmate,3.3SM4R,259,Compact refrigerator,Automatic,No freezer,93.3,1,No,93.3,0,0,
1649,16604863,Stirling,MAR32BL,259,Compact refrigerator,Automatic,No freezer,91,1,No,90.5,0,0,
2378,16604874,Stirling,MCR31W,320,Compact refrigerator,Partial automatic,Inside,87,1,No,62.1,24.7,0.397745572,
65,9391393,Sub-Zero,ID-24R,213,Compact refrigerator,Automatic,No freezer,113.3,1,No,113.3,0,0,
425,3556679,Sub-Zero,UC-24CI,438,Compact refrigerator,Automatic,Bottom,135.07,2,No,104.48,30.58,0.292687596,
463,4293663,Sub-Zero,BI-30UA/O,550,Refrigerator,Automatic,Bottom,489.03,8,No,371.51,117.51,0.316303733,
471,4293671,Sub-Zero,BI-36R/S/TH,503,Refrigerator,Automatic,No freezer,665.44,11,No,665.44,0,0,
472,4293672,Sub-Zero,BI-36RA/O,502,Refrigerator,Automatic,No freezer,661.48,11,No,661.48,0,0,
478,4293678,Sub-Zero,BI-36S/O,636,Refrigerator,Automatic,Side,582.19,10,No,349.99,232.19,0.663418955,
490,4293690,Sub-Zero,BI-42S/O,654,Refrigerator,Automatic,Side,688.38,11,No,460.99,227.38,0.493242804,
491,4293693,Sub-Zero,BI-42SD/O,703,Refrigerator,Automatic,Side,676.77,11,Yes,452.78,223.98,0.494677327,
494,4293696,Sub-Zero,BI-42SID/O,651,Refrigerator,Automatic,Side,671.39,11,No,447.4,223.98,0.500625838,
497,4293699,Sub-Zero,BI-48S/O,682,Refrigerator,Automatic,Side,815.52,14,No,539.43,276.08,0.511799492,
501,4293705,Sub-Zero,BI-48SID/O,678,Refrigerator,Automatic,Side,797.11,13,No,525.56,271.55,0.516686962,
504,4293718,Sub-Zero,UC-24C,405,Compact refrigerator,Automatic,Bottom,135.07,2,No,104.48,30.58,0.292687596,
505,4293719,Sub-Zero,UC-24R,280,Compact refrigerator,Automatic,No freezer,162.53,2,No,162.53,0,0,
636,6188463,Sub-Zero,BI-36UFD/S/PH,571,Refrigerator,Automatic,Bottom,593.8,10,No,447.97,145.83,0.325535192,
1002,9391394,Sub-Zero,ID-30R*,227,Compact refrigerator,Automatic,No freezer,147.2,2,No,147.2,0,0,
1003,9391395,Sub-Zero,ID-30C,317,Compact refrigerator,Automatic,Bottom,141.6,2,No,84.9,56.6,0.666666667,
1005,9391397,Sub-Zero,ID-36C,365,Compact refrigerator,Automatic,Bottom,167.1,2,No,96.3,70.8,0.735202492,
1007,9391399,Sub-Zero,IT-30R**,333,Refrigerator,Automatic,No freezer,467.2,8,No,467.2,0,0,
1075,9572787,Sub-Zero,IC-24R,298,Refrigerator,Automatic,No freezer,365.2,6,No,365.2,0,0,
1076,9572788,Sub-Zero,IC-30R**,330,Refrigerator,Automatic,No freezer,489.8,8,No,489.8,0,0,
1077,9572789,Sub-Zero,ID-27R,217,Compact refrigerator,Automatic,No freezer,130.2,2,No,130.2,0,0,
1078,9572790,Sub-Zero,ID-36R*,230,Compact refrigerator,Automatic,No freezer,186.6,3,No,186.8,0,0,
1079,9572791,Sub-Zero,IT-30CI**,546,Refrigerator,Automatic,Bottom,441.7,7,No,300.1,141.5,0.471509497,
1080,9572792,Sub-Zero,IT-36CI**,569,Refrigerator,Automatic,Bottom,557.8,9,No,376.6,181.2,0.481147106,
1081,9572793,Sub-Zero,IT-36R**,353,Refrigerator,Automatic,No freezer,580.4,10,No,580.4,0,0,
1684,10990408,Sub-Zero,IC-36R**,360,Refrigerator,Automatic,No freezer,605.98,10,No,605.98,0,0,
1783,11702211,Sub-Zero,BI-42UFD/S/TH,589,Refrigerator,Automatic,Bottom,685.26,11,No,506.87,178.39,0.351944286,
1963,14082020,Sub-Zero,648PRO***,696,Refrigerator,Automatic,Side,854.88,14,No,522.72,332.15,0.635426232,
2332,15799937,Sub-Zero,BI-48SD/*/**,760,Refrigerator,Automatic,Side,802.78,13,Yes,531.22,271.55,0.511181808,
2335,15799940,Sub-Zero,UC-24B*/*/**,430,Compact refrigerator,Automatic,No freezer,169.33,2,No,169.33,0,0,
2984,19453804,Sub-Zero,IC-24C,400,Refrigerator,Automatic,Bottom,314.31,5,No,226.53,87.78,0.387498345,
2985,19453805,Sub-Zero,IC-24CI,500,Refrigerator,Automatic,Bottom,314.31,5,No,226.53,87.78,0.387498345,
2986,19453806,Sub-Zero,BI-30U/S/**,551,Refrigerator,Automatic,Bottom,490.73,8,No,373.21,117.51,0.314862946,
2989,19453809,Sub-Zero,BI-36UID/S/**,573,Refrigerator,Automatic,Bottom,609.09,10,No,463.26,145.83,0.31479083,
1604,10975767,Summit,FFBF245SSX,319.797,Refrigerator,Automatic,Bottom,279,4,No,205,74,0.36097561,
1606,10975769,Summit,FFBF280WX,348.562,Refrigerator,Automatic,Bottom,391,6,No,305,86,0.281967213,
1629,10990320,Summit,FFBF100W,370,Refrigerator,Automatic,Bottom,289,4,No,202,87,0.430693069,
1631,10990322,Summit,FF1085SS,296,Refrigerator,Automatic,Top,280,4,No,205,75,0.365853659,
1633,10990324,Summit,FF1387SS,311,Refrigerator,Automatic,Top,326,5,No,237,89,0.375527426,
1954,13770239,Summit,FF1376SS,344,Refrigerator,Automatic,Top,327,5,No,245,81.5,0.332653061,
1972,14082475,Summit,FF1075W,291,Refrigerator,Automatic,Top,278,4,No,209.2,68.6,0.32791587,
2239,15201139,Summit,FF1512SSIM,281,Refrigerator,Automatic,Top,356,6,No,274,82,0.299270073,
2240,15201140,Summit,FF1511SS,285,Refrigerator,Automatic,Top,367,6,No,274,93,0.339416058,
2241,15201141,Summit,FFBF247SSIM,331,Refrigerator,Automatic,Bottom,315,5,No,224,91,0.40625,
2243,15201143,Summit,FFBF246SS,334,Refrigerator,Automatic,Bottom,320,5,No,224,96,0.428571429,
2244,15201144,Summit,FFBF287SSIM,373,Refrigerator,Automatic,Bottom,232,7,No,331,133,0.401812689,
2246,15201146,Summit,FFBF286SS,376,Refrigerator,Automatic,Bottom,475,8,No,331,144,0.435045317,
2810,17698980,Summit,FFBF181ES,390,Refrigerator,Automatic,Bottom,339,5,No,254,85,0.334645669,
3021,19731282,Summit,FFBF249SS,380,Refrigerator,Automatic,Bottom,307,5,No,222,85,0.382882883,
755,7589854,Summit,FFBF171SS,389.3,Refrigerator,Automatic,Bottom,322.1,5,No,229.4,92.7,0.404097646,
1430,15012787,Sylvania,SFR328-B,243,Compact refrigerator,Manual,Inside,90.8,1,No,82.3,8.5,0.10328068,
2767,14648621,Sylvania,SFR834-***,358,Compact refrigerator,Partial automatic,Inside,89.87,1,No,63.44,26.43,0.416614124,
541,4911402,Thermador,T30IR800SP,319,Refrigerator,Automatic,No freezer,487.049,8,No,487.049,0,0,
542,4911403,Thermador,T24IR800SP,291,Refrigerator,Automatic,No freezer,376.33,6,No,376.33,0,0,
546,4911407,Thermador,T36BB820SS,429,Refrigerator,Automatic,Bottom,562.372,9,No,396.718,165.653,0.417558568,
564,5485378,Thermador,T30BB820SS,391,Refrigerator,Automatic,Bottom,460.714,7,No,322.245,138.469,0.429701004,
1312,9975811,Thermador,T48BR820NS**,655,Refrigerator,Automatic,Side,849.78,14,No,544.24,305.54,0.561406732,
1314,9975813,Thermador,T42BR810NS**,604,Refrigerator,Automatic,Side,721.51,12,No,464.68,256.83,0.552702935,
1322,9975831,Thermador,T48BD820NS**,703,Refrigerator,Automatic,Side,835.91,14,Yes,544.24,291.66,0.535903278,
1324,9975834,Thermador,T42BD810NS**,651,Refrigerator,Automatic,Side,708.48,12,Yes,464.68,243.81,0.524683653,
1325,9975835,Thermador,T42BD820NS**,651,Refrigerator,Automatic,Side,708.48,12,Yes,464.68,243.81,0.524683653,
2109,14977899,Thermador,T24UR800DP,304,Compact refrigerator,Automatic,No freezer,141.8,2,No,141.8,0,0,
798,16784419,Tillreda,HS-57LN(NA),207,Compact refrigerator,Manual,No freezer,44,0,No,44,0,0,
2050,14644792,True Residential,TR-42SBS-**-B,562,Refrigerator,Automatic,Side,692,11,No,444.6,247.5,0.556680162,
2113,16763205,True Residential,TUR-15-*-*G-B,288,Compact refrigerator,Automatic,No freezer,87.782,1,No,87.782,0,0,
2664,16763206,True Residential,TUR-24BD-*-**-B,311,Compact refrigerator,Automatic,No freezer,158.574,2,No,158.574,0,0,
2670,16763212,True Residential,TUR-24-D-**-B,308,Compact refrigerator,Automatic,No freezer,152.911,2,No,152.911,0,0,
2671,16763213,True Residential,TUR-24-*-*G-B,340,Compact refrigerator,Automatic,No freezer,158.574,2,No,158.574,0,0,
2882,18443125,True Residential,TR-48SBS-**-B,604,Refrigerator,Automatic,Side,832.515,14,No,586.159,246.357,0.420290399,
2193,15011367,Twin Eagles,TEOR24-E,191,Compact refrigerator,Automatic,No freezer,143.8,2,No,143.8,0,0,
2194,15011368,Twin Eagles,TERD242-E,208,Compact refrigerator,Automatic,No freezer,140.2,2,No,140.2,0,0,
2195,15011369,Twin Eagles,TEBK24-E,274,Compact refrigerator,Automatic,No freezer,160.6,2,No,160.6,0,0,
3011,19725711,Twin Eagles,TERD242-F,208,Compact refrigerator,Automatic,No freezer,140.2,2,No,140.2,0,0,
3012,19725712,Twin Eagles,TEOR24-F,191,Compact refrigerator,Automatic,No freezer,143.8,2,No,143.8,0,0,
1084,16304557,U-Line,U-2218RS-00B,230,Compact refrigerator,Automatic,No freezer,96.27,1,No,96.27,0,0,
1653,16592663,U-Line,U-1215RB-00B,225,Compact refrigerator,Automatic,No freezer,85.95,0,No,85.95,0,0,
1771,16304555,U-Line,U-2218RGLS-00B,260,Compact refrigerator,Automatic,No freezer,96.27,1,No,96.27,0,0,
2117,16592677,U-Line,U-1224RB-00B,240,Compact refrigerator,Automatic,No freezer,152.91,0,No,152.91,0,0,
2135,16592682,U-Line,U-ADA24RB-13B,240,Compact refrigerator,Automatic,No freezer,150.08,0,No,150.08,0,0,
2202,16304507,U-Line,U-3024DWRINT-00B,300,Compact refrigerator,Automatic,No freezer,125.59,1,No,125.59,0,0,
2373,16304502,U-Line,U-3024BEVINT-00B,270,Compact refrigerator,Automatic,No freezer,133,2,No,133,0,0,
2384,16304513,U-Line,U-3024RINT-00B,240,Compact refrigerator,Automatic,No freezer,135.9,2,No,135.9,0,0,
2397,16304526,U-Line,U-3036RRGLS-13B,320,Compact refrigerator,Automatic,No freezer,189.7,3,No,189.7,0,0,
2398,16304527,U-Line,U-3036RRINT-00B,290,Compact refrigerator,Automatic,No freezer,195.38,3,No,195.38,0,0,
2410,16304539,U-Line,U-2224RINT-07A,240,Compact refrigerator,Automatic,No freezer,135.9,2,No,135.9,0,0,
2421,16304550,U-Line,U-3024RINT-07A,240,Compact refrigerator,Automatic,No freezer,135.9,2,No,135.9,0,0,
2440,16304569,U-Line,U-2224RINT-00B,240,Compact refrigerator,Automatic,No freezer,135.9,2,No,135.9,0,0,
2522,18441401,U-Line,U-1224RSOD-07A,240,Compact refrigerator,Automatic,No freezer,152.91,0,No,152.91,0,0,
2523,18441402,U-Line,U-1224RSOD-13A,240,Compact refrigerator,Automatic,No freezer,152.91,0,No,152.91,0,0,
2530,16592673,U-Line,U-1224RFB-00B,495,Compact refrigerator,Automatic,Side,138.75,2,No,113.27,25.49,0.225037521,
2620,16592684,U-Line,U-ADA24RGLB-13B,300,Compact refrigerator,Automatic,No freezer,150.08,0,No,150.08,0,0,
2676,16592662,U-Line,U-1024BEVS-00B,305,Compact refrigerator,Automatic,No freezer,155.74,0,No,155.74,0,0,
2762,16592671,U-Line,U-1224DWRINT-00B,305,Compact refrigerator,Automatic,No freezer,152.91,0,No,152.91,0,0,
2812,18441396,U-Line,U-1224BEVINT-67A,305,Compact refrigerator,Automatic,No freezer,155.74,0,No,155.74,0,0,
2868,18441393,U-Line,U-1024BEVINT-00A,305,Compact refrigerator,Automatic,No freezer,152.91,2,No,152.91,0,0,
2874,18441399,U-Line,U-1224DWRS-00B,305,Compact refrigerator,Automatic,No freezer,150,2,No,150,0,0,
338,2345701,Viking,VCFF136DSS*,515,Refrigerator,Automatic,Bottom,558.4,9,Yes,415.69,142.72,0.343332772,
952,8975342,Viking,RVTF3360SS*,464,Refrigerator,Automatic,Bottom,621.266,10,No,462.976,158.29,0.341896772,
1860,12770848,Viking,RVRF336S*,472,Refrigerator,Automatic,Bottom,628.354,10,No,436.648,191.706,0.439040142,
2131,14985373,Vinotemp,VTBC34TS,292,Compact refrigerator,Manual,No freezer,110,1,No,110,0,0,
2282,14985374,Vinotemp,VT-MF88L,318,Compact refrigerator,Manual,No freezer,81.8,1,No,81.8,0,0,
2869,14985375,Vinotemp,VT-MF62L,307,Compact refrigerator,Manual,No freezer,57,0,No,57,0,0,
756,7737912,Vissani,HMDR1030**,310,Refrigerator,Automatic,Top,282,4,No,209.3,72.6,0.346870521,
1635,10990326,Vissani,HVDR1040B,329,Refrigerator,Automatic,Top,280,4,No,205,75,0.365853659,
1634,10990325,Vistra,HSDR450WE2,347,Compact refrigerator,Automatic,Top,127,2,No,92,35.2,0.382608696,
512,4537888,Whirlpool,WRF560SFY*0*,452,Refrigerator,Automatic,Bottom,557.27,9,No,377.74,179.53,0.475273998,
580,5920208,Whirlpool,WRT111SFA*0*,379,Refrigerator,Automatic,Top,303.376,5,No,220.74,82.636,0.374358974,
581,5920210,Whirlpool,WRF736SDA*,508,Refrigerator,Automatic,Bottom,699.14,12,Yes,508.85,190.29,0.373960892,
595,6053807,Whirlpool,WRS342FIA*0*,528,Refrigerator,Automatic,Side,602.01,10,Yes,410.87,191.14,0.465207973,
596,6053808,Whirlpool,WRS322FDA*0*,533,Refrigerator,Automatic,Side,600.88,10,Yes,409.17,191.7,0.468509422,
775,8086234,Whirlpool,WRS322FNA*0*,540,Refrigerator,Automatic,Side,610.22,10,No,409.17,201.05,0.491360559,
776,8086235,Whirlpool,WRS325FNA*0*,582,Refrigerator,Automatic,Side,705.93,12,No,433.81,272.12,0.627279224,
858,8465141,Whirlpool,WRB322DMB*0*,403,Refrigerator,Automatic,Side,618.638,10,No,440.348,178.29,0.404884319,
940,8975317,Whirlpool,WRF532SMB*,424,Refrigerator,Automatic,Bottom,626.08,10,No,443.44,182.64,0.411870828,
943,8975322,Whirlpool,WRB322DMB,423,Refrigerator,Automatic,Bottom,624.95,10,No,442.3,182.64,0.412932399,
945,8975326,Whirlpool,WRF535SWB*,449,Refrigerator,Automatic,Bottom,713.29,12,No,502.62,210.68,0.419163583,
948,8975335,Whirlpool,WRS571CID*0*,531,Refrigerator,Automatic,Side,583.237,10,Yes,385.672,197.565,0.512261715,
950,8975339,Whirlpool,WRF540CWB*,405,Refrigerator,Automatic,Bottom,566.33,9,No,407.19,159.14,0.390824922,
962,12600710,Whirlpool,WH43S1E,228,Compact refrigerator,Manual,Inside,120,1,No,106,14,0.132075472,
1128,9606202,Whirlpool,WRT134TFD*0*,299,Refrigerator,Automatic,Top,405.78,6,No,296.19,109.59,0.369998987,
1305,9975802,Whirlpool,WRT314TFD*0*,332,Refrigerator,Automatic,Top,405.78,6,No,296.19,109.59,0.369998987,
1317,9975818,Whirlpool,WRX988SIB*,582,Refrigerator,Automatic,Bottom,741.04,12,No,521.03,220.02,0.422278947,
1333,9975847,Whirlpool,WRX735SDB***,563,Refrigerator,Automatic,Bottom,694.04,12,No,503.47,190.57,0.378513119,
1337,9975852,Whirlpool,WSR57R18D*,326,Refrigerator,Automatic,No freezer,501.2,8,No,501.2,0,0,
1339,9975855,Whirlpool,WRT106TFD*0*,344,Refrigerator,Automatic,Top,452.5,7,No,338.38,114.12,0.337253975,
1443,10017269,Whirlpool,WRT541SZD*0*,355,Refrigerator,Automatic,Top,603.43,10,No,429.85,173.58,0.403815284,
1446,10017274,Whirlpool,WRT318FZD***,366,Refrigerator,Automatic,Top,513.95,8,No,369.81,144.13,0.389740678,
1449,10017278,Whirlpool,WRT519SZD*,374,Refrigerator,Automatic,Top,541.98,9,No,396.43,145.55,0.36715183,
